username,comment,time,likes,sentimen,
@Jaguar-06-u7p,"​ @SandyRaksa utamakan kata depan nya menggunakan kata dari bahasa Indonesia yg sesuai, atau pas waktu buat prompt ke dalam bahasa Inggris nya kata kata nya ada yg diterjemahkan dlm bahasa Inggris buasa nya ada yg di dalam tanda kurung, nah itu hapus aja yg di dalam tanda kurung itu",2 minggu yang lalu,0,0,
@SandyRaksa,"​ @Jaguar-06-u7p semua nya pake bahasa indonesia koq bang tapi tetep video nya pake bahasa inggris,jadi males saya buat AI lagi",7 hari yang lalu,0,0,
@WisnuAIPro,Hahaha,2 minggu yang lalu,0,0,
@ratu.tiara_satu,apa nama tempat kerjanya dan ultah yang keberapa ka,2 hari yang lalu,0,0,
@WisnuAIPro,Hahaa mantap om,2 minggu yang lalu,0,1,
@ArfaDanil,hahah coba coba om​ @WisnuAIPro ,2 minggu yang lalu,0,0,
@gamesplaysandroid1370,keren hu gimana cara agar karakter  konsisten,2 minggu yang lalu,1,1,
@adi_candra007,Bikin Video AI Buat Promosi Jualan,2 minggu yang lalu,0,1,
@cewecanz2663,Warga greenland setelah dipikir pikir iya juga soal ne bendera kita sama merah putih 🇮🇩 🇬🇱 😂😂😂,2 minggu yang lalu,0,0,
@mgwildan,ini harus ke layanan pro dulu yaa ?? 🙏,2 minggu yang lalu,1,0,
@fredyalphaers,Tapi bagaimana Ai bisa generate  wajah2 mereka ?? Setau sy Ai tidak mungkin bs generate wajah manusia krn itu berkaitan dgn identitas..,2 minggu yang lalu,0,0,
@kiraran2867,Kalau yang ngomong pake foto sendiri bagaimana caranya Kak?,13 hari yang lalu,0,0,
@muhamadikrom6868,"Bang kenapa ya saya buat video, stelah jdi tidak ada suaranya",2 minggu yang lalu,3,0,
@NendraAzkha,Harus ke pro dulu,6 hari yang lalu,0,-1,
@HiburHiburan-h8h,Jangan lupa tahuhgihrot mama sultan,2 minggu yang lalu,0,1,
@SINYOHARMONIBALI,kak gimana caranya biar karakternya konsisten suksma,2 minggu yang lalu,0,0,
@jujunjoswara569,Bang ada group nya ga pingin belajar,12 hari yang lalu,0,0,
@DivaGembrot,Waduh gimana nasib marjan d Ramadhan tahun depan y,2 minggu yang lalu,0,0,
@irsalzip8283,"gimana caranya durasi panjang, soalx sy coba beberapa generate video tdk sampai 1 menit",2 minggu yang lalu,2,1,
@planetgamecommunity817,"Veo 1, veo 2, veo.3 ,veo.4, veo 5, veo6, veo 7, veo 9  veo 10.Veo.10= Youtube Tutup",2 minggu yang lalu (diedit),0,0,
@NicoAndre-k3x,"Coba aja bisa 15 detik, auto bikin Vine sih 😂",2 minggu yang lalu,0,1,
@kdrjytart6914,Prompt nya bang,2 minggu yang lalu,0,0,
@dinarouw2325,Buat foto jadi video,2 minggu yang lalu,0,1,
@botang_03,Di tempat ku cuma bisa jadi foto doang,11 hari yang lalu,0,-1,
@pujiherlandari2782,"aku baru bikin video , udh gabisa lgi..bsa lagi nnti tgl 19 juni ..",2 minggu yang lalu,0,-1,
@HaleyTasik,Minta prompt nya donk kak buar copy paste 🙏,2 minggu yang lalu,0,0,
@SisterFinance,"kasih tanda kurung kak contoh (bentuk muka, pipi chuby, hidung mancung, gigi tonggos, mata biru, dagu lancip), kalo untuk badan dan usia ya bisa di atur sesuai kebutuhan, itu cuma contoh ya 😅",2 minggu yang lalu (diedit),0,0,
@WisnuAIPro,Bahahaha,2 minggu yang lalu,0,0,
@pandjisp,sama,3 hari yang lalu,0,0,
@ratu.tiara_satu,pakai vpn ka biar merubah dr veo 2 ke veo 3 ka.. pilih wilayah amerika ka,2 hari yang lalu,0,1,
@WisnuAIPro,Iya om,5 hari yang lalu,0,0,
@KUTiS_2M,8 detik,2 minggu yang lalu,0,0,
@RiyadiMen,eemng durasinya mentok d situ bro mau sampe tua jga generate ga bakal 1 menit durasi,2 minggu yang lalu,0,0,
@miegoreng228,​ @RiyadiMen  Kak ini emang harus pro ya? Soalnya saya coba gabisa text to video,2 minggu yang lalu,0,0,
@Xuanxii,"Tinggal 8s x 10 video, terus di gabung pakek converter",2 minggu yang lalu,0,0,
@Arjadogaming,"Gua mau berhenti langganan gk bs bang. ""setelah masuk ke Play Store, tulisannya beda seperti yg di tutorialnya bang😢. Videonya ada di short terbaruku kak. Mohon bantuannya",2 minggu yang lalu,1,0,
@coldsnapYT,7:35 kalo kena limit coba ganti akun saja bang.  *FYI aja*🙏,2 minggu yang lalu,0,0,
@AnakpemulaChanel,Kira2 pake muka kita bisa,2 minggu yang lalu,0,0,
@bella-sd9gs,"Bang ,, veo 3 ini bisa bikin 3d rumah bang ,, toling jawab",2 minggu yang lalu,0,1,
@LUTFIADIMZ,Gratis peang,2 minggu yang lalu,0,1,
@TheAjitae,"Bg promtnya  jgn ada unsur bahasa inggrisnya contoh ""cup"" itu bahasa inggris ai nya kmungknan bakal berbicara bhs inggris,, kcuali klo emang dasar promptnya pake  bahasa inggris",13 hari yang lalu,0,0,
@yusufbachtiar5811,"Bang, saya selalu bahasa inggris keluarnya, padahal prompt udah sama bang, ada tipsnya kah",2 minggu yang lalu,0,0,
@antowie9659,"Ternyata ini pake gemini pro,,kirain  pake gemini biasa bisa.",2 minggu yang lalu,0,1,
@HanifSaifudin-h8g,Kalau konsistensi karakter antar prompt gimana bang? Apakah pernah bikin?,2 minggu yang lalu,0,0,
@Yosisport,Bikinin bang buat produk sandal saya. Byr brp,2 minggu yang lalu,0,1,
@viraltiktok5969,"Bang kok di hp saya tetep veo2? Padahal sudah pro, dan sudah ganti vpn Amerika dll tetap gak bisa veo3",2 minggu yang lalu,1,0,
@Xuanxii,Mukanya otomatis/kasih sendiri,2 minggu yang lalu,0,1,
@kakilham3,Sudah ikutin tutornya cmn nggk ada suaranya kenapa ya bang?,13 hari yang lalu,0,0,
@KaptenBaru-x3o,cara munculin pilihan Videonya gimana bang? punya ku cuman ada Deep Research sama Canvas doang ..,3 hari yang lalu,0,0,
@sepatualdhis,Kalau minta bikinin video bisa bg.,2 minggu yang lalu,0,1,
@HaleyTasik,Pliss share pompt nya kak,2 minggu yang lalu,0,0,
@singteam493,Bang punya saya kok ada limit nya bang? Cmn bisa bikin 6x aja bang,2 minggu yang lalu,0,0,
@masechospotter,"klo d HP gk bisa kah bang, gk pny laptop 🙂",2 minggu yang lalu,0,0,
@abdik21,Cara naikin likit gimana ya kak,2 minggu yang lalu,0,0,
@oetjesantoso8450,"bang..mau tanya, kalo seumpama, produk nya spesifik gitu kira2 vo3 bisa ga membuat nya, misal bikin jualan snack yang ada packaging nya dengan gambar yang sesuai denga pacakging tsb walau mungkin sekilas apabila pacagking itu sedang di pegang soarang anak kecil misal nya.",2 minggu yang lalu,0,1,
@gdissfyy_,kalo ganti akun brrti harus beli lagi dong?,2 minggu yang lalu,0,0,
@WisnuAIPro,Siap om trims infonya,13 hari yang lalu,0,1,
@WisnuAIPro,Yang pro om cuma dia gratis 1 bulan,2 minggu yang lalu,0,0,
@antowie9659,"Iya OM, maka nya tdi saya bilang yg pro om.​ @WisnuAIPro ",9 hari yang lalu,0,0,
@YunitaLina,Bang gimana caranya biar bisa daptar Gemini pro,7 hari yang lalu,0,0,
@WisnuAIPro,Belum coba klo itu om,2 minggu yang lalu,0,0,
@miegoreng228,"Samaaa, apa harus pake leptop ya? Tp saya coba dilwptop juga masih tetap veo2",2 minggu yang lalu,0,-1,
@WisnuAIPro,"Coba donlot dulu om, klo udh donlot ga keluar suaranya hrs generate lagi",13 hari yang lalu,0,0,
@WisnuAIPro,Pilih gemini flash atau pro di menu atas om ada pilihan,3 hari yang lalu,0,1,
@WisnuAIPro,"Sekarang ini blm bisa di veo 3 sih, cuma bisa text to video.. Pake google flow kayanya bisa itu",2 minggu yang lalu,1,-1,
@erozyeah,"Bisa ko ka bikin yang kaya kaka maksud. Sy bikin pake chatgpt., malah sudut pandangnya bisa diatur sesuka kita . Trus hasil generate gambar Di generate ke video pake runwayML atau kling ai.",2 minggu yang lalu (diedit),0,1,
@Limitsata,bang kl veo 2 blm bisa untuk generate video y?,2 hari yang lalu,0,0,
@suhendarjodie1716,Cara download vdio nya gmn bang?,13 hari yang lalu,0,0,
@refiandy,Sayangnya maksimal cuma 8 detik,2 minggu yang lalu,0,-1,
@SatrioPujangga,"Ditempat saya gemini, kok untuk create video ga ada ya, cuma deep reaserch ama. Camvas aja....knp ya bang.....trims",2 minggu yang lalu,0,-1,
@hifnibng25,Prompt,2 minggu yang lalu,0,0,
@angga2209,sudah pake VPN tetep gak keluar opsi Video,2 minggu yang lalu,0,-1,
@mieayamcapek,"Udah Pro Tapi Baru Buat 3 Video doang udah Full gitu, kudu nunggu 10 harian lagi. Kenapa yahhhh???",2 minggu yang lalu,0,-1,
@gerizimstudio3039,bang kenapa digoogle gemini belum muncul tombol video buat cek apakah sudah menggunakan veo3 atau 2?,13 hari yang lalu,0,0,
@naylahijab952,yang muncul cuma deep sama canvas aku coba ga ada video nya,2 minggu yang lalu,0,-1,
@AS_Gokay.85,Minimal gemininya udah pro..alias prabayar yea kak,13 hari yang lalu,0,-1,
@terkasaham,kok saya ga keluar suaranya ya bang,2 minggu yang lalu,0,-1,
@gangebuntu,supaya tidak kena batasan sebaiknya bikinnya  berapa video? dan kalo pengan durasi yang lama gimana kak,2 minggu yang lalu,0,0,
@sinarsehatsmd1454,Kak sy sudah instal vpn dan gemini pro tp kenapa di gemini masih veo2 ya. Gimn ya supaya bisa connect. N videonya kenapa ga bisa panjang ya,2 minggu yang lalu,0,0,
@Buronan_Mertuaku,Kok saya bikin gak keluar suaranya yah,2 minggu yang lalu,0,-1,
@driverkbp1159,Saya bikin vidio tp gak ada suaranya,2 minggu yang lalu,0,-1,
@yayacahyadi84,"keren bang ilmunya, mantap",2 minggu yang lalu,0,1,
@Joran_MLC,"Izin Om Bagi Teks'y Karna Sya Juga Jualan Tahu Gejrot, Mohon di jawab",2 minggu yang lalu (diedit),0,1,
@ageofking9518,Bang di hp kok ngga bisa bang ya bro 3 ini,6 hari yang lalu,0,-1,
@iwakmanyung7691,Aku dah pro dah pkai vpn masih tapi tetap v2 gak mau v3,2 minggu yang lalu,0,-1,
@fitrahardiansyah2369,"Btw itu karakternya wajah asli apa fiktif,klo fiktif ko mirip orang indonesia",2 minggu yang lalu,0,1,
@WisnuAIPro,Video bisa cuma  blm ada suara sm ngomong,2 hari yang lalu (diedit),0,0,
@WisnuAIPro,Di atasnya pindahin ke  versi flash atau pro om ada menu pilihan,2 minggu yang lalu,0,0,
@ZonaRetros,prut,2 minggu yang lalu,1,0,
@WisnuAIPro,Coba liat menu di atas om pindahin ke flash atau pro ntar muncul menu videonya,12 hari yang lalu,0,0,
@WisnuAIPro,Iya tapi gratis itu 1 bulan,13 hari yang lalu,0,1,
@moneyfree011,"Kalau tidak mau kena batasan kayaknya harus langganan berbayar /bukan free trial, untuk durasi per video hanya 8 detik, kalau mau di extend ada dua cara Pertama lewat flow dari google, alternative kedua dan Gratis lewat google ai studio",2 minggu yang lalu,0,1,
@WisnuAIPro,"Emang ada limitnya om jadi harus nunggu giliran, paling pake email baru daftar lagi",2 minggu yang lalu,0,-1,
@WisnuAIPro,"Vpn lokasinya pilih Amerika, coba klik di veo 2 nya nanti ada pilihan veo 3.. Durasi 8 detik sekali generate, di edit aja sambung2 klo mau panjang",2 minggu yang lalu,0,1,
@WisnuAIPro,Iya om edit aja dari prompt yg ada di video tinggal ganti nama,2 minggu yang lalu,0,1,
@WisnuAIPro,"Fiktif om, emang itu kelebihannya veo om hehe",2 minggu yang lalu,0,1,
@hisanhisan4558,Ini harus Gemini pro apa tdk bang?,2 minggu yang lalu,0,0,
@Zx16888,Ini harus pakai yg pro ya bang?harus berlangganan kalo mau buat video gini?,5 hari yang lalu,0,0,
@Firlinda-x3q,Saya buat kok gak keluar suaranya ya kenapa,2 minggu yang lalu,0,-1,
@farisanahla,"1 akun berapa video sih bg limitnya ? Saya pakai sekitar 6 atau 7 kali limit nya udah abis, tanggal 8 , eh malah d indur lagi, tanggal 12 baru bsa lagi🤣",2 minggu yang lalu,0,-1,
@fareldanendra9464,kok diasaya cuman video doang bang ya gaada suaranya,2 minggu yang lalu,0,-1,
@gerandrean,Cara buat nya dan bikin dmn? Apa bisa di apk gemini? Dan gratis? Atau cuman bisa di Web nya?,2 minggu yang lalu,0,0,
@evanbagus3090,kalau mencapai batas gmn bang,2 minggu yang lalu,0,0,
@EpiHanapiah-c3k,Ko gua ga ada suara nya,2 minggu yang lalu,0,-1,
@informantunggal9749,Supaya wajah bisa diganti wajah kita gimana,2 minggu yang lalu,0,0,
@varizzaky8377,"Cuman kok jeda waktu antara sudah habis penggunaan dan bisa lagi digunakan, lama. 🤦",2 minggu yang lalu,0,-1,
@WPid,bikin durasi video dari gemini ini durasinya bisa panjang gk bro,2 minggu yang lalu,0,0,
@ahmadwns,saya membuat yang pertama jadi sesui harapan. terus buat lagi kok gak ada suaranya ya bang,2 minggu yang lalu,0,-1,
@jjsingker521,Di hp gue ngk bisa bg😢😢😢,4 hari yang lalu,0,-1,
@rikkk-r3f,"cara ngatasi gaada suaranya gimana ya bang, udah clear cache ganti server vpn sama aja",2 minggu yang lalu,0,-1,
@ferrymulianto8132,Bisnis informasi bisa kontak kemana kak?,2 minggu yang lalu,0,0,
@MuhammadAbdillah-ut5nk,wajahnya bisa diganti dengan wajah kita gak bang,2 minggu yang lalu,0,0,
@YTChannel5758,di punyaku tidak work,2 minggu yang lalu,0,-1,
@anna-e4h9e,durasinya maksimalnya 8 detik yaa,11 hari yang lalu,0,0,
@RayZyo,Jual promtnya bang,9 hari yang lalu,0,1,
@arjuna3861,Ijin tanya abang...kenapa ya ko ngomong nya suka bahasa inggris..itu kesalahan dari apa nya ya,2 minggu yang lalu,0,0,
@WisnuAIPro,"Iya yg pro, tapi dpt gratis 1 bulan pertama",5 hari yang lalu,0,0,
@WisnuAIPro,Nah itu dia om sama ane juga di undur kmren haha,2 minggu yang lalu,0,-1,
@WisnuAIPro,"Bisa om lewat HP, gratis 1 bulan cuma ada batas kreditnya.. Hrs pake VPN",2 minggu yang lalu,0,0,
@WisnuAIPro,Tambahin pake ai faceswap om,2 minggu yang lalu,0,0,
@WisnuAIPro,"Sekali generate 8 detik, paling di edit om di sambung biar panjang",2 minggu yang lalu,0,0,
@WisnuAIPro,"Coba donlot dulu om kadang setelah di donlot baru muncul suaranya, klo ga juga hrs generate ulang",2 minggu yang lalu,0,1,
@WisnuAIPro,Coba donlot dulu om kadang suka keluar suara klo udh di donlot,2 minggu yang lalu,0,1,
@WisnuAIPro,Bisa wa ke no 085810134712,2 minggu yang lalu,0,0,
@WisnuAIPro,Klo di veo 3 sendiri belum bisa paling combine pake AI yang lain om faceswap gtu,2 minggu yang lalu,0,-1,
@WisnuAIPro,Iya betul om,11 hari yang lalu,0,0,
@WisnuAIPro,Ide bagus nih haha,9 hari yang lalu,0,1,
@WisnuAIPro,Kadang suka gtu om ane generate ulang klo gtu,2 minggu yang lalu,0,0,
@alminafirman5168,Kalo kita masukin gambar sample produk bisa ga ya?,8 hari yang lalu,0,1,
@nhizyarachannel2165,"Bang,  gimana caranya biar bikin veo 3 tanpa limit.",2 minggu yang lalu,0,0,
@shczxlynqvotte,Kenapa engga warga konoha bang,2 minggu yang lalu,0,0,
@ripaginanjar6888,"bang tolong jwb , apakah ada batasan harian bikin vidio vio 3 ,??? 🙏🙏🙏 contoh ny cuman 3 vidio sehari",12 hari yang lalu,0,0,
@pencarikebenaran1909,Saya selalu tiap buat selalu gak ada suaranya 😢😢.,2 minggu yang lalu,1,-1,
@alnajahfialaikhira2423,Bang vpn nya saya dowload harus berbayar,2 minggu yang lalu,0,-1,
@YunitaLina,Saya bikin bang tapi blm ada fitur videonya bang,7 hari yang lalu,0,-1,
@RajaYoutubeEV,Harus lewat pc yah bang ga bisa lewat hp,2 minggu yang lalu,0,0,
@retailindomandiri1874,Di google gemininya ga ada logo video kenapa ya,2 minggu yang lalu,0,0,
@gowes_gurat_garut_,Klo mukanya diubah peke muka kita bisa ga om?,2 minggu yang lalu,0,0,
@ipung-ism7011,Ko gada suaranya ya,2 minggu yang lalu,1,-1,
@MasBaik-u5e,Bisa pake muka kita sendiri gak bang,2 minggu yang lalu,0,0,
@SentralStamp,bang kenapa pas saya buka gemini tidak ada tools video?,10 hari yang lalu,0,-1,
@harosmurtia,audio nya bang😭,8 hari yang lalu,0,0,
@Xycann,Kokk punya saya bahasa inggris ya bang bicara nya,8 hari yang lalu,0,0,
@arsyaandmom17,1 akun ada batasan brp jumlah generate video nggak bang?,2 minggu yang lalu,0,0,
@MrNdey,bang ada cara supaya bisa pakai foto sendiri ngga?,2 minggu yang lalu,0,0,
@akumasmu7708,"Ka aku udah updat ke versi pro tapi veo 3 ny koq gak muncul""",2 minggu yang lalu,0,-1,
@budisusanto99,Apakah harus gemini pro?,7 hari yang lalu,0,0,
@candrakirana1335,"Saya biat kadang gak bisa di play sama di download bg, solusi nya gimana ya",2 minggu yang lalu,0,0,
@WisnuAIPro,Klo di veo blm bisa om,8 hari yang lalu,0,-1,
@WisnuAIPro,Ga tau klo itu om soalnya yg pro aja di batesin hehe,2 minggu yang lalu,0,-1,
@WisnuAIPro,Bahaha,2 minggu yang lalu,0,0,
@sukasukasaya9,1 hari 2 video bang,10 hari yang lalu,0,0,
@Duniabakery,Di save aja kak pas udah simpan biasanya ada suaranya,2 minggu yang lalu,0,1,
@RajaYoutubeEV, @Duniabakery tetep ga ada kk,2 minggu yang lalu,1,-1,
@WisnuAIPro,Coba klik menu gemini di atas pindahin ke flash atau pro,7 hari yang lalu,0,0,
@WisnuAIPro,Bisa ko lewat hp,2 minggu yang lalu,0,1,
@RajaYoutubeEV, @WisnuAIPro webnya apa bang ko saya mahbyg muncul gambar,2 minggu yang lalu,0,0,
@WisnuAIPro,​ @RajaYoutubeEV google Gemini om bisa instal di android,2 minggu yang lalu,1,1,
@RajaYoutubeEV, @WisnuAIPro klo iphone apa om saya insal google gemini di iphone bisanya cua gambar ga bisa bikin video,2 minggu yang lalu,0,-1,
@WisnuAIPro,​ @RajaYoutubeEV coba liat pilihannya om hrsnya ada,2 minggu yang lalu,0,1,
@RajaYoutubeEV, @WisnuAIPro udah bisa bang tp ga ada suaranya gmna supaya ada suaranya munculnya malah subtitle,2 minggu yang lalu,0,0,
@albarkstore779,Gemini di saya g mucul.video,2 minggu yang lalu,0,-1,
@albarkstore779,Cuma kanvas,2 minggu yang lalu,0,0,
@WisnuAIPro,Di menu atas coba cek pindahin ke google flash atau pro,2 minggu yang lalu,0,0,
@WisnuAIPro,Kalo di veo blm bisa om hrs tambah pake ai faceswap gtu,2 minggu yang lalu,1,0,
@gowes_gurat_garut_,"​ @WisnuAIPro sy coba, knp ga muncul u video ya om, cm gambar aja?",2 minggu yang lalu,0,0,
@Zoelvizoelvi,Pke vpn baru ada suaranya,2 minggu yang lalu,0,0,
@WisnuAIPro,Coba donlot dulu om kadang suka muncul suaranya setelah di donlot,2 minggu yang lalu,0,0,
@Mergedrealms-c7w,​ @WisnuAIPro tetep bisu..😢,2 minggu yang lalu,0,-1,
@WisnuAIPro,Klo veo 3 nya blm bisa,2 minggu yang lalu,0,-1,
@WisnuAIPro,Coba di menu atas pindahin ke flash atau pro gemininya,10 hari yang lalu,0,0,
@varizzaky8377,Setahuku sesuai kesulitan prompt. Makin detail makin sedikit video yang bisa dibuat. Nanti ada peringatan berapa video lagi yang bisa dibuat.,2 minggu yang lalu,0,0,
@WisnuAIPro,Belum bisa om di veo cuma bisa text to video.. Paling pake aplikasi lain swap face gtu,2 minggu yang lalu,0,-1,
@WisnuAIPro,Udh instal vpn nya blm?,2 minggu yang lalu,0,0,
@WisnuAIPro,Iya om tapi gratis sebulan,6 hari yang lalu,0,0,
@WisnuAIPro,Aga lama kadang om buat play sm donlotnya tgu aja,2 minggu yang lalu,0,-1,
@celanakolor6316,Pakai hhp bisa gk,8 hari yang lalu,0,0,
@4troublez07,make ipad bisa gk bang,2 minggu yang lalu,0,0,
@HadehHoam,Udah pake vpn kok masih veo 2 stlh di reload mas?,5 hari yang lalu,0,0,
@ChirulAnitriWastuti,Berbayar ya bwangg,2 minggu yang lalu,0,0,
@irfanofficial96k,Mau tanya wajah nya itu diambil dri orng asli kah?,2 minggu yang lalu,0,0,
@zulhamdi639,Bisa Ndak pakai HP,2 minggu yang lalu,0,-1,
@kardiansyah3844,Bang tanya saya setiap bikin kok suaranya gak muncul ya hanya video saja😢,2 minggu yang lalu,0,0,
@sigit7468,Tombol Video nya kok gak nampil ya,2 minggu yang lalu,0,-1,
@yudiG01,suaranya sakit banget di telinga,6 hari yang lalu,0,-1,
@kayla-salsa,Durasi berapa detik?,2 minggu yang lalu,0,0,
@jakaprojek0579,Maksimal berapa video bang,2 minggu yang lalu,0,0,
@yondatau1054,Di gue kok tetap ngk bisa ya aktif yang videonya udah pake vpn lagi anjir apa yg salah,2 minggu yang lalu,0,-1,
@Jakantod,Cara daftar  gratis Veo 3 harus pake kartu credit gmn cara nya bikin kartu kredit ya 😂,2 minggu yang lalu (diedit),0,0,
@zulkiflialfayed2948,video saya cmn 8 detik bisa nggk jadi panjang,13 hari yang lalu,0,0,
@gamersbaper9619,bang mic lu kenapa,2 minggu yang lalu,0,0,
@astutiastuti4957,Hasil vidio kadang bahasa inggris bang.,2 minggu yang lalu,0,0,
@ehau6596,Gemini ku gabisa bikin video,9 hari yang lalu,0,-1,
@adipatiblues30,Gw udh pake vpn tetep aja gk ada suaranya bang,2 hari yang lalu,0,-1,
@soccer8862,Kadang veo 3 gda suara gmna tuh bang,2 minggu yang lalu,0,-1,
@ennysuciati9541,"Ambil karakter artis, bisa gak",2 minggu yang lalu,0,0,
@WisnuAIPro,Bisa om,8 hari yang lalu,0,0,
@WisnuAIPro,Hrsnya bisa,2 minggu yang lalu,0,0,
@WisnuAIPro,Lokasi vpnnya pastiin Amerika om,5 hari yang lalu,0,0,
@WisnuAIPro,Bisa om,2 minggu yang lalu,0,0,
@smpn1polewali,Saya juga engga ada suaranya maslahnya di mana,2 minggu yang lalu,0,0,
